group,n,r2_loss,mae_gain
"wind (all: surface, 100 m, upper-air, history)",49,0.04456333143890068,1.1172708952882857
  wind history only (rolling 6-48 h means),37,0.021389702041116232,0.7002593303624467
  upper-air wind (soundings 925/850/700),10,0.0025823825923885213,0.13397143782567422
"humidity (RH, dewpoint, VPD)",9,0.008032870669565595,0.28171627180467507
boundary layer + inversion,10,0.0006827673220271002,-0.10466784869506274
precipitation,27,0.0026986916022034846,0.06798086056130437
season (day of year),4,0.0050550241729936385,0.13435404537055984
hour of day,3,0.0019123753009981925,0.039359635366097656
emissions level (trailing year),1,0.006299046241546757,0.10947357333554208
temperature + pressure,13,0.0009422148060712621,-0.008715605768741419
cloud + radiation,3,0.00034397723716195205,-0.021782916997222124
dust codes,3,0.0007647137698048034,-0.01739296330126372
upwind cities PM,30,0.11371103844047992,2.492379308848263
weekday + CNY,6,-0.0005980136840031403,-0.05258271135575221
