,0
e_v_north100_m24,198081.87929546833
e_v_north100_m12,181129.24201011658
level365,149063.20582461357
e_boundary_layer_height_m24,62985.983508735895
doy_cos,41135.739430844784
doy_sin,27765.852582484484
doy,25510.66475856304
s_vn850_m24,24378.975871264935
s_vn925_m24,23390.20829746127
e_precipitation_s72,18479.19075742364
e_relative_humidity_2m_m24,17297.931037515402
e_wind_speed_100m_m12,16951.41326150298
e_dew_point_2m,16116.882063955069
e_v_north_m48,15459.600043147802
s_inv850,14646.72904765606
e_wind_speed_10m_m48,12642.414675295353
e_relative_humidity_2m,10491.861355364323
e_wind_speed_100m_m24,10482.472819000483
e_hrs_since_strong_n,10430.867779016495
s_vn925,9190.757146596909
s_inv925_m24,8391.838420152664
s_vn850,6918.132101118565
e_boundary_layer_height_m6,6462.09801915288
e_temp_d24,5992.909279555082
e_v_north_m6,5388.412719577551
s_vn700,5296.377999484539
e_pressure_msl,4971.312249362469
e_precipitation_s48,4725.861108124256
e_temperature_2m,4662.388999611139
s_inv925,4369.419631958008
e_u_east100,4313.2524953484535
e_v_north100,3984.7296523451805
e_surface_pressure,3751.0799519717693
e_wind_speed_10m_m12,3486.314129024744
s_ws700,3427.8110481500626
e_u_east,3216.6534448564053
s_ws925,3202.339440703392
e_precipitation_s24,3142.9742919504642
e_pres_d24,2781.7176207602024
e_boundary_layer_height,2258.9638510346413
e_precipitation_s12,2014.4011169075966
e_v_north_m24,1984.9818231463432
s_ws850,1891.0986442267895
e_v_north_m12,1841.0873549580574
e_wind_speed_10m_m24,1652.808481901884
hour,1578.9623481035233
month,1289.5004094839096
e_cloud_cover_low,1214.166614830494
dow,1212.410041987896
e_precip_flag_s24,1200.8086190521717
e_wind_speed_100m,1126.515502512455
dow_sin,1092.3269777297974
cny_night,1065.909069597721
e_vapour_pressure_deficit,1006.1575022041798
e_v_north,992.0288800001144
hour_sin,959.219096571207
e_wind_gusts_10m,883.3572049736977
dow_cos,878.2736616134644
hour_cos,802.9504158198833
e_shortwave_radiation,546.9999919831753
e_strong_n_hours24,461.03989881277084
cny_window,454.9505820274353
e_wind_speed_10m,440.0479306578636
e_cloud_cover,434.62821382284164
e_precipitation_s6,371.84446889162064
e_snow_flag_s24,93.90593302249908
e_rain,79.10111352801323
e_precipitation_s3,65.72214069962502
e_precipitation,48.81636315584183
e_precip_flag_s6,41.938080191612244
weekend,15.129570007324219
e_precip_flag,1.0682200193405151
e_snowfall,0.0
e_snow_flag,0.0
e_blh_missing,0.0
e_snow_flag_s6,0.0
