,0
e_v_north100_m24,208784.07793925703
level365,161950.64961982518
e_v_north100_m12,154701.69027718902
e_boundary_layer_height_m24,47005.8749457784
wspd_m48,36307.540616601706
wspd_m24,36302.333584090695
doy_cos,32206.346004944295
doy_sin,27947.68634335324
doy,24413.846589446068
e_wind_speed_100m_m12,19100.388884320855
e_soil_moisture_0_to_7cm,17588.62110916339
e_precipitation_s72,17568.524846766144
v_north_m12,17321.912558268756
e_v_north_m48,13919.571994043887
hrs_since_strong_n,12484.064458232373
dewpt,11916.902745071799
v_north_m6,10573.298315215856
wspd_m12,9369.929285764694
rh_m24,9146.437878970057
temp_m24,8788.632152438164
v_north_m48,8544.690152104944
u_east_m24,8284.913240924478
e_dew_point_2m,8250.635323919356
u_east_m6,6948.533145723864
rh_m6,6002.492168325931
rh,5978.610301524401
dust_s24,4804.073222577572
e_wind_speed_100m_m24,4634.665443059057
e_wind_speed_10m_m48,4608.189494017512
strong_n_hours48,4403.63470967859
dust_s6,4380.190960038453
pres_d24,4243.865224521607
v_north_m24,4014.0181644633412
e_boundary_layer_height_m6,3956.157097335905
e_pressure_msl,3694.440870977938
e_surface_pressure,3514.4095801226795
precip_int_s48,3249.510579712689
month,3239.4805026203394
e_v_north_m6,3227.527674496174
dewpt_dep,3199.039677426219
temp_d24,2925.3471080064774
e_soil_temperature_0_to_7cm,2737.206196822226
e_v_north_m24,2693.356852600351
dust,2539.493224270642
e_relative_humidity_2m,2508.6845780573785
e_precipitation_s48,2506.6841157712042
e_wind_speed_10m_m24,2128.1489979997277
e_u_east100,2020.7600511349738
hour,2007.341470502317
e_boundary_layer_height,1983.6069444827735
wspd_m6,1839.2459589354694
e_v_north_m12,1838.3501470163465
precip_int_s12,1588.1837974824011
v_north_m3,1534.11220189929
e_temperature_2m,1459.2640180513263
hour_sin,1344.2586034983397
dow,1246.4911969043314
pres,1245.2865205854177
precip_int_s24,1217.5170571878552
e_v_north100,1211.2667680494487
wspd_m3,1193.276661157608
e_wind_speed_100m,1185.5496315415949
temp,1182.6774896420538
e_precipitation_s24,1168.961357370019
rain_s24,1139.7972612418234
e_cloud_cover_low,1115.0986501313746
cny_night,1112.204645395279
e_wind_speed_10m_m12,1092.4838959053159
e_u_east,1038.9659154936671
e_shortwave_radiation,976.2184968702495
dow_sin,967.3976967707276
dow_cos,883.2144036181271
e_et0_fao_evapotranspiration,850.864784091711
strong_n_hours24,848.9071166198701
e_wind_gusts_10m,773.2133231498301
e_vapour_pressure_deficit,753.7048682384193
e_v_north,698.6713815890253
e_cloud_cover,662.3300757333636
e_precipitation_s12,617.9386954065412
u_east,442.96478839963675
hour_cos,414.7271787635982
pres_d3,339.6840812712908
rain_s6,337.99596318230033
e_wind_speed_10m,330.0360877737403
cny_window,301.8243332952261
v_north,280.8568656463176
precip_int_s6,160.9545333534479
e_precipitation_s6,130.74470089003444
wspd,127.51283933594823
e_precipitation_s3,99.2165225315839
snow_s24,58.92564966529608
e_rain,52.620833449065685
e_precipitation,36.177101250737906
gust,32.134165953844786
weekend,31.400028847157955
precip_int,28.474347714334726
rain,21.937706794589758
precip_int_s3,10.193165272474289
e_snowfall,2.2706730365753174
snow_s6,0.7222682014107704
snow,0.31888099014759064
e_blh_missing,0.0
