,0
cloud_reported,245683.63681331277
e_v_north100_m24,127439.47546866536
level365,93757.99468243122
e_v_north100_m12,86375.85707600415
cloud,42841.11663943529
e_boundary_layer_height_m24,37887.95640027523
doy_cos,28274.576066493988
doy,20889.819457381964
doy_sin,20199.37931267172
e_precipitation_s72,19722.324070878327
e_soil_moisture_0_to_7cm,17358.39224370569
wspd_m24,15155.947393417358
e_wind_speed_100m_m12,14926.905311994255
e_wind_speed_10m_m48,13730.52580485493
wspd_m48,12822.090956911445
e_v_north_m12,12228.563117459416
rain_s24,11866.403391510248
v_north_m12,11395.790211513638
v_north_m6,10114.401151455939
e_v_north_m48,9352.301432974637
hrs_since_strong_n,8646.742265865207
temp_m24,7702.035147279501
u_east_m24,7648.471048757434
wspd_m12,7195.095596760511
e_dew_point_2m,6837.994139164686
e_wind_speed_100m_m24,6756.712679371238
e_precipitation_s48,6679.082451462746
dewpt,6005.752897851169
v_north_m24,5551.8401036038995
u_east_m6,5467.795793920755
v_north_m48,4877.519242435694
e_boundary_layer_height_m6,4646.37495791167
e_v_north_m6,4478.095591634512
rh_m24,4406.257051289082
strong_n_hours48,4175.532040461898
precip_int_s48,3977.9473025351763
e_v_north_m24,3821.4235322773457
rain,3754.1737285628915
rh_m6,3679.4395428299904
dust_s24,3436.034154586494
e_wind_speed_10m_m24,3145.785998158157
pres_d24,3092.1272436752915
wspd_m6,3015.907212153077
e_soil_temperature_0_to_7cm,2692.138958491385
e_surface_pressure,2629.287095621228
precip_int,2621.7961041778326
e_boundary_layer_height,2437.67586658895
e_relative_humidity_2m,2430.7050387114286
e_pressure_msl,2314.0077943503857
rh,2257.5951397940516
temp_d24,2023.65285718441
hour,1775.6631906107068
hour_sin,1647.29700409621
month,1597.4946332275867
dust_s6,1561.7140514999628
wspd_m3,1526.6138062402606
dewpt_dep,1444.545292854309
temp,1388.1455117464066
e_v_north100,1284.5070817768574
v_north_m3,1257.5624927431345
e_precipitation_s24,1151.518901988864
precip_int_s12,1107.9389257133007
e_vapour_pressure_deficit,1079.3939661830664
dow,1044.0954280942678
pres,1011.3388571590185
e_wind_speed_10m_m12,1003.8786856010556
precip_int_s24,972.1402202695608
strong_n_hours24,949.3520480170846
e_u_east100,905.2078052312136
cny_night,792.8755975216627
dow_cos,770.9573465883732
e_precipitation_s12,734.959907785058
dow_sin,732.6520799547434
e_temperature_2m,669.3948475271463
e_shortwave_radiation,580.8119488358498
e_u_east,546.0015720427036
e_cloud_cover,543.7375880405307
e_wind_speed_100m,533.8337655216455
u_east,526.4471735209227
e_cloud_cover_low,483.1749026477337
e_wind_gusts_10m,467.82619884610176
e_et0_fao_evapotranspiration,450.7336837723851
e_v_north,440.50041592121124
precip_int_s6,357.2463421151042
e_wind_speed_10m,337.50903514027596
rain_s6,320.620463848114
precip_int_s3,306.04740193486214
hour_cos,302.6475063934922
e_precipitation_s6,236.17874504625797
pres_d3,234.46877785772085
v_north,202.17978700995445
cny_window,167.4313466846943
wspd,157.13940619677305
snow_s24,111.03541554510593
e_precipitation_s3,63.9821587651968
e_rain,62.38386827707291
gust,40.516625344753265
dust,38.07826693356037
e_precipitation,30.54061622917652
weekend,8.211867958307266
e_snowfall,4.495148956775665
snow,0.6285300254821777
snow_s6,0.3030259907245636
