,0
cloud_reported,207347.0718113333
e_v_north100_m24,178767.3254925683
level365,111652.07197210193
e_v_north100_m12,93105.09782095999
cloud,35727.86168970168
e_boundary_layer_height_m24,31937.554893501103
doy_cos,28217.601381212473
e_precipitation_s72,22754.523561298847
doy_sin,20623.47270487249
doy,20195.55673648417
e_wind_speed_100m_m12,17695.838045872748
e_v_north_m12,16894.537605412304
wspd_m48,16328.25931417197
e_soil_moisture_0_to_7cm,15103.20686750859
wspd_m24,12378.842574432492
rain_s24,10108.34268040955
e_v_north_m48,9027.457156911492
temp_m24,8415.782860845327
e_dew_point_2m,7803.470362454653
v_north_m6,7561.864547736943
u_east_m24,6723.732368141413
hrs_since_strong_n,6632.17203874886
dewpt,5658.878230385482
wspd_m12,5646.419326074421
u_east_m6,5454.239426724613
v_north_m12,5326.1267284452915
rh_m24,5017.755573987961
precip_int_s48,4978.014313817024
e_wind_speed_10m_m48,4792.706113442779
e_v_north_m6,4679.885295838118
e_soil_temperature_0_to_7cm,4574.651577837765
v_north_m48,4383.173999369144
e_boundary_layer_height_m6,4247.938348144293
strong_n_hours48,4158.723767355084
dust_s24,3975.6202688366175
rh_m6,3717.4588763713837
e_wind_speed_100m_m24,3513.0736815556884
e_v_north_m24,3255.406159222126
pres_d24,3219.8719011843204
e_surface_pressure,2907.723683603108
e_precipitation_s48,2687.4683832377195
rain,2681.1525576263666
v_north_m24,2574.992053538561
e_pressure_msl,2509.6405439972878
wspd_m6,2509.400896087289
rh,2478.9599067419767
e_precipitation_s24,2474.636365801096
precip_int,2183.854445397854
temp_d24,2154.2304443120956
dust_s6,2005.2670892775059
e_boundary_layer_height,1830.6282490193844
hour,1662.5568814352155
hour_sin,1615.220811009407
dewpt_dep,1599.5834021270275
e_u_east100,1518.5444226711988
e_relative_humidity_2m,1334.2007765769958
e_wind_speed_10m_m24,1267.462251201272
month,1217.3002411276102
e_wind_speed_10m_m12,1075.0503153577447
v_north_m3,1061.0163790881634
e_v_north100,1048.3939784243703
precip_int_s12,1012.365212738514
wspd_m3,1004.1860152333975
e_temperature_2m,969.3751706033945
dow,953.1024240553379
precip_int_s24,922.0875332355499
strong_n_hours24,919.4453092813492
e_precipitation_s12,893.6342588663101
e_wind_speed_100m,829.5564013198018
e_u_east,805.3350059017539
cny_night,803.623731315136
e_vapour_pressure_deficit,796.4961901977658
pres,789.3571049496531
temp,786.4889115691185
rain_s6,772.5576264858246
dow_sin,767.917949333787
dow_cos,718.7984728813171
e_wind_gusts_10m,679.1942177116871
u_east,590.3397403359413
e_v_north,548.9485514760017
e_cloud_cover,548.8150162100792
e_shortwave_radiation,542.2064662277699
e_et0_fao_evapotranspiration,531.6273346543312
e_cloud_cover_low,481.68771773576736
precip_int_s3,311.9375796318054
hour_cos,267.55890549719334
e_wind_speed_10m,265.32099997997284
pres_d3,259.8494040071964
precip_int_s6,253.4096294492483
v_north,226.19956884533167
cny_window,185.0156453847885
e_precipitation_s6,128.576053917408
wspd,105.30242866277695
e_precipitation_s3,84.74136507511139
dust,80.92398209869862
snow_s24,55.698355078697205
e_rain,55.109243392944336
e_precipitation,36.10064612329006
gust,33.766072914004326
weekend,9.241929978132248
snow,2.867846965789795
e_snowfall,0.7883769571781158
snow_s6,0.3987810015678406
e_blh_missing,0.0
