,0
cloud_reported,273439.2297305763
level365,132456.30950821936
v_north_m12,119599.92079295218
doy_cos,57178.33922222257
v_north_m24,49852.9233032316
cloud,48171.16351170838
doy_sin,25375.28761191666
wspd_m24,24308.154268443584
v_north_m6,22719.701812274754
doy,21945.090677931905
hrs_since_strong_n,20460.057576611638
wspd_m48,20036.513757511973
rain_s24,15534.273836880922
wspd_m12,13730.668600186706
precip_int_s48,13247.95134100318
u_east_m24,12724.09710213542
temp_m24,12686.413018807769
v_north_m48,11522.647168844938
pres_d24,11021.880836740136
dewpt,11002.46822553128
strong_n_hours48,7465.652440145612
pres,6811.439206942916
rh_m24,6550.44267052412
u_east_m6,6432.907528027892
rh_m6,5501.954826340079
wspd_m6,4907.363950565457
precip_int_s12,4758.997449874878
wspd_m3,4449.011676743627
precip_int,4310.111376255751
rh,3768.756551578641
dust_s24,3468.369184240699
strong_n_hours24,3023.2085000127554
rain,3015.692575186491
month,2897.1639730781317
hour,2701.1435240358114
temp,2668.892241716385
dewpt_dep,2661.807001143694
temp_d24,2601.5159766450524
v_north_m3,2311.738655000925
precip_int_s24,2280.6385167986155
hour_sin,2135.4733704030514
dow,1879.7260596901178
u_east,1620.3430062383413
dust_s6,1517.584521457553
dow_sin,1512.4327689111233
dow_cos,1280.4833225905895
hour_cos,1270.0431019961834
cny_night,801.5044540464878
pres_d3,702.4497412741184
precip_int_s6,504.1567890495062
v_north,386.31768929958344
rain_s6,383.8601134419441
wspd,295.787634819746
cny_window,201.74871626496315
snow_s24,200.3920510262251
precip_int_s3,106.76352670788765
gust,44.55176232755184
dust,41.50510385632515
snow,32.845338344573975
snow_s6,20.843978941440582
weekend,10.43327111005783
