,0
cloud_reported,277622.3796583116
year_frac,132462.9104861617
v_north_m12,120489.19769188762
doy_cos,54375.97672602534
v_north_m24,52862.09249469638
cloud,46879.586566746235
v_north_m6,27390.56446826458
wspd_m24,27067.103820726275
doy_sin,24327.415416151285
doy,21247.589339226484
rain_s24,18400.16301447153
wspd_m48,17962.19162797928
precip_int_s48,13184.53631028533
wspd_m12,11977.519271999598
u_east_m24,11764.50436463952
pres_d24,11209.45602157712
v_north_m48,10964.465355366468
temp_m24,10568.42955866456
dewpt,10393.344345971942
hrs_since_strong_n,10106.774824351072
strong_n_hours48,7110.544264912605
pres,6449.492135733366
u_east_m6,6198.650231197476
rh_m24,5336.85683619976
precip_int_s12,5255.7047038674355
rh_m6,5040.300621151924
wspd_m6,4615.713770478964
precip_int,4533.16956448555
wspd_m3,4388.061038583517
rh,3597.8886974453926
strong_n_hours24,3566.516478687525
dust_s24,3315.7016331255436
temp_d24,2619.527393192053
hour,2592.742927610874
dewpt_dep,2274.7172069847584
temp,2246.811698257923
hour_sin,2202.283088862896
rain,2074.5764089673758
v_north_m3,1929.4393643438816
month,1924.2306043803692
precip_int_s24,1820.1088806688786
dow,1743.6622437238693
dust_s6,1286.3855929374695
u_east,1245.2335815876722
dow_cos,1187.1853437125683
hour_cos,1155.1786925196648
dow_sin,1115.043185800314
cny_night,818.6175211668015
pres_d3,632.2334688603878
precip_int_s6,538.9585619270802
v_north,349.3717395067215
wspd,320.73481011390686
rain_s6,305.84260591864586
precip_int_s3,246.95589473843575
snow_s24,245.11634132266045
cny_window,190.0796748995781
gust,39.78271695971489
dust,28.301018685102463
snow,14.092530369758606
snow_s6,12.793127954006195
weekend,6.935190200805664
