,0
cloud_reported,285518.15590810776
year_frac,123857.03812789917
v_north,93965.82742834091
doy_cos,62207.85131597519
cloud,60103.545890808105
dewpt,44879.906791210175
doy_sin,32374.23285961151
doy,29681.231824874878
rh,23431.138390541077
pres,21490.99501466751
u_east,14998.606150627136
dewpt_dep,14609.267658233643
wspd,13556.489841938019
precip_int,8270.361580848694
temp,6479.969283103943
rain,5518.972779273987
hour_sin,3325.5205297470093
hour,3039.1469440460205
month,2642.9629249572754
dow,1725.2609558105469
dow_cos,1072.8861865997314
hour_cos,701.6563296318054
dow_sin,521.0489225387573
dust,440.76319885253906
cny_night,416.79279613494873
snow,225.9238429069519
cny_window,191.7701506614685
gust,0.0
weekend,0.0
