,0
c_north_PM25,251767.70703499392
c_east_PM25,140510.3997552432
e_v_north100_m12,82942.3704581596
c_north_PM10,61522.35551782325
c_south_PM25,32330.865900928155
c_north_PM10_m6,29636.849200226367
c_northwest_PM25_m24,28077.87973839976
v_north_m12,28062.146328769624
c_northwest_PM25_m6,25923.211995553225
level365,23870.853003446013
c_south_PM25_m6,23011.877005102113
v_north_m6,22143.369547776878
c_east_PM25_m24,21645.272974409163
c_north_PM25_m6,19735.002027319744
c_east_PM25_m6,18526.038573998958
e_v_north100_m24,12630.213509693742
e_v_north_m12,12159.214673794806
u_east_m24,10990.850453896448
e_v_north_m6,10908.106364883482
c_south_PM25_m24,9659.39800504595
e_wind_speed_100m_m12,6771.033797161654
c_south_PM10,5395.916940562427
c_south_PM10_m24,5234.340158849955
wspd_m24,4774.939348446205
wspd_m12,4653.814320947975
dewpt,4494.632110140286
s_vn925_m24,4101.297461558133
s_vn925,4027.207522848621
c_northwest_PM10_m6,3763.7227740762755
c_northwest_PM10,3760.567225275561
s_vn850_m24,3747.4618618376553
doy_sin,3707.360076289624
u_east_m6,3618.1936046667397
e_v_north100,3542.6458081696182
doy_cos,3520.7844287687913
doy,3482.8349476084113
c_south_PM10_m6,3479.0911920294166
wspd_m48,3362.55478602089
c_east_SO2,3245.7951427232474
rh,2500.546801790595
c_east_PM10,2470.166254274547
c_northwest_PM10_m24,2420.1249978709966
c_northwest_PM25,2400.746834391728
v_north_m3,2375.7200079113245
e_soil_moisture_0_to_7cm,2281.6285896115005
c_south_SO2,2232.9580369424075
s_lapse_low,2192.8995648231357
c_north_PM10_m24,2095.8305482827127
temp_m24,2088.1534223118797
s_inv925_m24,2066.4252088069916
hrs_since_strong_n,2018.2793360948563
c_east_PM10_m24,1988.4574575331062
v_north_m24,1955.441672284156
e_dew_point_2m,1867.0714930333197
s_inv850,1827.57315903157
wspd_m6,1822.0404660906643
e_boundary_layer_height_m24,1761.833511840552
rh_m24,1620.0405206941068
e_relative_humidity_2m_m24,1530.4475481901318
v_north_m48,1439.1500107664615
s_vn700,1424.3150014691055
c_north_PM25_m24,1421.971329210326
e_v_north_m48,1411.7029207833111
s_vn850,1278.184663945809
dewpt_dep,1274.6348327752203
e_precipitation_s72,1153.1710308212787
s_inv925,1138.799079257995
e_wind_speed_10m_m48,1135.7168260477483
rh_m6,1063.115369869396
c_southwest_PM25_m24,1060.710610728711
s_ws_low_m24,1018.4061593823135
e_hrs_since_strong_n,982.503465089947
c_southwest_SO2,959.7392732333392
c_southwest_PM10_m24,941.4675034992397
e_u_east100,931.3563902657479
s_ws700,902.2408028244972
e_v_north_m24,877.3820996638387
c_southwest_PM25_m6,870.9704369418323
hour,845.2792008556426
e_cloud_cover_low,790.5980675760657
c_east_PM10_m6,788.361232502386
c_southwest_PM25,772.3203765954822
e_pres_d24,770.4492221865803
e_pressure_msl,763.2022307440639
s_ws_low,703.0739567913115
wspd_m3,684.6750840302557
hour_sin,681.2333033736795
e_relative_humidity_2m,660.7214711196721
rain_s24,651.3942532967776
c_north_O3,649.0011794157326
c_south_O3,634.0332846362144
e_surface_pressure,580.3406500481069
s_ws925,561.2128343414515
strong_n_hours48,552.9010912980884
c_northwest_O3,552.3625678047538
e_v_north,537.588021364063
s_ws850,530.8971803542227
e_wind_speed_100m,526.4658519048244
e_wind_speed_10m_m24,523.9347660448402
e_precipitation_s48,520.2325751855969
e_boundary_layer_height,516.5182555690408
e_boundary_layer_height_m6,479.973395684734
temp_d24,471.6333202496171
pres_d24,469.56332682818174
e_wind_speed_100m_m24,468.6331250164658
e_temp_d24,468.1740783620626
c_southwest_PM10,457.5635393746197
c_east_NO2,456.8346091490239
c_southwest_PM10_m6,443.6878748424351
c_north_SO2,443.26148911751807
e_precipitation_s12,439.45602088980377
c_southwest_NO2,431.1103612855077
dust,420.35328332334757
c_northwest_SO2,400.57289298810065
precip_int_s48,396.67481334879994
e_soil_temperature_0_to_7cm,394.0559450984001
u_east,385.52014009281993
c_east_O3,381.0910697225481
e_u_east,379.21508179046214
c_south_NO2,378.71052804775536
rain_s6,373.50701722316444
e_temperature_2m,370.75948024354875
s_inv_base,365.0998167656362
c_north_NO2,361.2927097044885
e_wind_speed_10m_m12,359.25124800391495
c_northwest_NO2,347.40313872136176
e_wind_gusts_10m,346.606857823208
dow,321.86738450825214
