,0
c_north_PM25,258112.59932999685
c_east_PM25,146286.45073731523
e_v_north100_m12,80179.63954351004
c_north_PM10,51813.5599719109
c_south_PM25,35800.36531624291
c_north_PM10_m6,32570.501164450776
c_northwest_PM25_m24,31259.41618147632
v_north_m12,28863.137976277154
level365,26557.5492177275
v_north_m6,25711.774931972846
c_northwest_PM25_m6,25522.5614860598
c_south_PM25_m6,22195.33059964981
c_east_PM25_m24,20065.584844786674
c_east_PM25_m6,19887.597431842703
e_v_north100_m24,13574.637074078899
u_east_m24,11103.725166046992
e_v_north_m12,11004.566764378455
c_north_PM25_m6,10199.082394597586
c_south_PM25_m24,9985.353682295885
e_v_north_m6,9624.326804392971
e_wind_speed_100m_m12,6405.005624771118
c_south_PM10,6298.275595263578
wspd_m24,4857.661669951864
dewpt,4592.6114394911565
wspd_m12,4539.438324810471
s_vn925,4496.060729008168
c_south_PM10_m24,4364.76925715385
s_vn850_m24,4108.083873019088
doy_sin,4057.840734265279
s_vn925_m24,3798.7491159415804
u_east_m6,3792.583489073906
c_northwest_PM25,3697.9221705254167
doy_cos,3695.08408059692
c_south_PM10_m6,3682.550301506184
doy,3675.9514830736443
c_northwest_PM10_m6,3654.9710357151926
wspd_m48,3648.875640240032
e_v_north100,3446.2057236908004
hrs_since_strong_n,3233.988311351277
c_northwest_PM10,3101.287318205461
c_east_PM10,2954.8272350574844
c_east_PM10_m24,2798.681965115946
e_soil_moisture_0_to_7cm,2611.6640008627437
v_north_m3,2535.5258592776954
s_lapse_low,2528.9648393336684
c_northwest_PM10_m24,2479.32694444526
c_north_PM10_m24,2413.71679882193
e_boundary_layer_height_m24,2247.6161905317567
temp_m24,2084.762165051885
s_inv925_m24,1979.4810892767273
c_north_PM25_m24,1921.9758624094538
rh,1902.8119286862202
e_dew_point_2m,1820.69641495822
s_inv850,1783.9041718952358
dewpt_dep,1727.818148556631
rh_m24,1662.9823031756096
v_north_m24,1550.505114656873
v_north_m48,1531.2379001746885
e_relative_humidity_2m_m24,1500.550660053268
e_v_north_m48,1499.5544846360572
wspd_m6,1487.8107041749172
s_vn700,1446.9115332779475
s_vn850,1272.5544035099447
e_wind_speed_10m_m48,1244.976095176302
c_southwest_PM25_m6,1153.1602266663685
s_ws_low_m24,1142.526655958034
e_hrs_since_strong_n,1102.0548951309174
s_inv925,1083.4205305068754
rh_m6,1082.2972893058322
e_wind_speed_10m_m12,1063.6477169897407
e_precipitation_s72,1042.0883561167866
c_southwest_PM25_m24,1014.9705186858773
c_southwest_PM10_m24,999.3179621477611
e_u_east100,972.9386915331706
s_ws700,964.9228440695442
c_east_PM10_m6,940.221690160688
s_ws_low,898.18282505963
e_v_north_m24,892.7728025950491
hour,866.4254016089253
c_southwest_PM25,841.2244330318645
hour_sin,821.787962873932
e_wind_speed_100m_m24,761.9815381588414
e_surface_pressure,716.9724189583212
e_pres_d24,714.0691573126242
e_wind_speed_100m,692.7215849244967
c_southwest_PM10_m6,692.6596785066649
e_relative_humidity_2m,679.0849977177568
rain_s24,672.8179692626
s_ws850,632.584605271928
strong_n_hours48,627.9304702393711
e_boundary_layer_height_m6,609.3133831322193
e_wind_speed_10m_m24,607.7355779511854
e_cloud_cover_low,598.1446596654132
wspd_m3,591.5359820886515
e_precipitation_s48,585.274847285822
e_u_east,579.4299445627257
e_temp_d24,576.6467965929769
e_boundary_layer_height,564.3303992520086
s_ws925,564.1939634704031
pres_d24,550.9414260578342
c_southwest_PM10,535.1046238942072
e_pressure_msl,526.4446872142144
e_v_north,502.3763661137782
temp_d24,496.85362647427246
s_inv_base,476.34390563424677
e_precipitation_s12,464.82883709063753
e_precipitation_s24,458.53969738818705
month,449.42500824388117
e_wind_gusts_10m,445.24753027642146
e_vapour_pressure_deficit,430.61946567101404
dust,417.19372559245676
e_soil_temperature_0_to_7cm,389.1890999819152
precip_int_s48,377.7364261900075
dow,346.7944214739837
u_east,341.77790109207854
strong_n_hours24,334.9416201952845
precip_int_s12,320.87211418896914
temp,312.42342616198584
e_temperature_2m,311.99653487699106
e_shortwave_radiation,291.13571429951116
dow_cos,291.08597162831575
rain_s6,284.71372791193426
dow_sin,272.49165337439626
s_inv_strength,268.0766673479229
pres,249.10386300226673
e_wind_speed_10m,244.16393457073718
precip_int_s24,240.64155308483168
e_et0_fao_evapotranspiration,238.8936541462317
e_cloud_cover,217.7245034375228
e_precipitation_s6,208.1190484231338
v_north,204.17067223927006
hour_cos,196.20905164955184
pres_d3,189.05691251531243
precip_int_s6,182.4774994784966
s_age,169.93004522053525
e_precip_flag_s24,133.3470093216747
e_strong_n_hours24,120.36474794056267
e_snow_flag_s24,89.37264327611774
snow_s24,82.76553504075855
wspd,78.35570041602477
dust_s6,61.26040797308087
cny_night,60.44391550915316
e_precipitation_s3,60.02265883469954
dust_s24,57.89063652092591
cny_window,27.031908998265862
precip_int_s3,18.691187240183353
e_precip_flag_s6,17.374577582348138
precip_int,12.825867506675422
e_snow_flag_s6,12.807277088984847
gust,10.951716430485249
e_rain,10.156495760194957
e_precipitation,8.265905407257378
rain,5.47537636058405
weekend,5.459919646382332
e_precip_flag,3.0317599773406982
e_snowfall,0.6886333972215652
snow_s6,0.27826599683612585
e_blh_missing,0.0
snow,0.0
e_snow_flag,0.0
