,0
e_v_north100_m24,176584.97096883692
e_v_north100_m12,162668.65478230268
level365,144592.73934417218
e_boundary_layer_height_m24,44235.47516320273
wspd_m48,33484.00293142907
wspd_m24,32542.296223908663
doy_cos,29094.805023141205
doy_sin,25935.4070164375
doy,23998.24418000132
v_north_m12,18291.25398040749
s_vn850_m24,17763.743456508964
s_vn925_m24,16936.15951685235
e_soil_moisture_0_to_7cm,16788.50322217308
e_wind_speed_100m_m12,16662.366763493046
e_v_north_m24,16117.039649264887
v_north_m6,12602.962376784533
e_precipitation_s72,11555.721375567839
temp_m24,8849.910542739555
e_v_north_m48,8639.535604666919
s_inv925_m24,8594.46583044529
s_inv850,8421.086209999397
e_hrs_since_strong_n,8259.408649722114
wspd_m12,7804.567557826638
dewpt,7417.743842236698
hrs_since_strong_n,7047.071897111833
e_relative_humidity_2m_m24,6910.020122906193
u_east_m6,5996.280852893367
s_lapse_low,5982.913039777428
e_dew_point_2m,5912.114278262481
e_wind_speed_100m_m24,5341.631200231612
u_east_m24,5175.230116173625
rh_m24,4934.0148672387
s_inv_base,4903.870940934867
s_vn700,4755.952220464125
rh,4550.402873041108
dust_s24,4505.348632771522
rh_m6,4322.757841575891
dust_s6,4206.591522868723
s_vn925,4091.7099135722965
v_north_m48,4024.9380077589303
e_wind_speed_10m_m48,3958.4146481696516
dewpt_dep,3679.6535888388753
s_inv925,3615.6491737030447
e_boundary_layer_height_m6,3553.5770040117204
s_vn850,3354.112673809752
e_precipitation_s48,3351.690688526258
s_inv_strength,3094.880121305585
e_soil_temperature_0_to_7cm,3002.7594749685377
e_v_north_m6,2904.1307796481997
wspd_m6,2693.5838671028614
dust,2560.556201873347
precip_int_s48,2517.300030782819
e_temp_d24,2475.4917154256254
month,2358.119903869927
e_pres_d24,2183.2852160818875
e_boundary_layer_height,2129.8841102365404
s_ws_low_m24,1983.2003636397421
strong_n_hours48,1938.3594602905214
s_ws700,1844.2446133885533
e_v_north_m12,1789.1542507782578
precip_int_s12,1736.5307003948838
e_pressure_msl,1724.867971552536
e_surface_pressure,1701.579911340028
temp_d24,1671.947048354894
s_ws_low,1555.0391904544085
hour,1518.8004572428763
v_north_m24,1506.3559393342584
e_relative_humidity_2m,1505.958345722407
s_ws925,1469.0932007525116
temp,1400.1517707910389
rain_s24,1399.914100298658
e_u_east100,1284.3064714930952
precip_int_s24,1275.4546500165015
wspd_m3,1255.2180615309626
s_ws850,1189.3229110818356
pres_d24,1157.1611372139305
e_wind_speed_10m_m24,1144.2620399277657
cny_night,1134.9661157298833
e_precipitation_s24,1116.9427662342787
e_temperature_2m,1050.2492863889784
e_wind_gusts_10m,951.3163927774876
hour_sin,949.8820219170302
v_north_m3,948.3547957353294
e_v_north100,940.7827410940081
s_age,835.2744014523923
dow,827.1752985492349
e_wind_speed_10m_m12,754.1663721185178
strong_n_hours24,691.5580205731094
e_u_east,634.5031683500856
e_et0_fao_evapotranspiration,628.0798206590116
dow_sin,611.6374706886709
e_vapour_pressure_deficit,602.4881661962718
e_wind_speed_100m,602.2910523414612
dow_cos,536.9058935213834
hour_cos,527.3942138776183
pres,523.6235952265561
e_shortwave_radiation,468.5787323191762
e_v_north,450.8778386749327
u_east,450.86907413974404
e_cloud_cover_low,421.98569498583674
e_cloud_cover,399.04985015280545
e_precip_flag_s24,350.94830189459026
e_precipitation_s12,336.2865872196853
cny_window,281.53489480912685
pres_d3,267.67183056659997
e_wind_speed_10m,267.46740742586553
v_north,263.73142129182816
e_strong_n_hours24,256.6161662917584
rain_s6,248.39107337221503
precip_int_s6,161.76244801282883
wspd,142.31108724325895
e_precipitation_s6,112.7012129407376
e_precipitation_s3,77.4427212588489
e_rain,48.92329153046012
snow_s24,48.6397757306695
e_snow_flag_s24,39.15199448354542
gust,31.953198174014688
precip_int,25.236454166471958
e_precipitation,21.360307348892093
e_precip_flag_s6,15.368710651993752
rain,13.99619916267693
weekend,8.765167072415352
precip_int_s3,7.41957139223814
e_snow_flag_s6,3.844338286668062
e_snowfall,3.248624760657549
snow,1.6036574468016624
e_snow_flag,1.342210054397583
e_precip_flag,0.0
snow_s6,0.0
e_blh_missing,0.0
