,0
e_v_north100_m24,187654.95532527566
e_v_north100_m12,167022.2545471117
level365,155331.94740679115
e_boundary_layer_height_m24,39734.81467808783
wspd_m48,37565.7359258607
wspd_m24,36846.1709385328
doy_cos,26336.76230451092
doy_sin,25642.722685180604
doy,23090.43553315103
s_vn850_m24,21353.796397686005
e_wind_speed_100m_m12,17245.119965665042
v_north_m12,16830.07312439382
e_precipitation_s72,15199.701470315456
e_soil_moisture_0_to_7cm,14405.664383139461
v_north_m6,11885.644369132817
e_v_north_m48,11163.589219827205
hrs_since_strong_n,9485.907484970987
s_inv850,8968.448131550103
dewpt,8904.753179378808
temp_m24,8279.813233077526
wspd_m12,8069.900016672909
rh_m24,7303.449748255312
s_inv925_m24,7180.941430963576
s_lapse_low,6158.369374617934
e_dew_point_2m,5950.122527550906
s_vn925,5735.207148835063
e_wind_speed_100m_m24,5633.18861477077
u_east_m24,5590.299349624664
u_east_m6,5540.559779524803
rh,5260.709699757397
v_north_m48,5025.469025887549
dust_s24,4895.376253560185
e_soil_temperature_0_to_7cm,4296.351674832404
s_vn850,4138.377982612699
rh_m6,4113.89714108035
dust_s6,4016.4325805306435
e_wind_speed_10m_m48,4004.1711118780077
s_vn700,3862.873515702784
e_boundary_layer_height_m6,3654.5632381290197
e_v_north_m24,3633.6679199039936
dewpt_dep,3503.04757200554
s_inv925,3310.2795899622142
e_v_north_m6,3195.433914653957
s_inv_base,3089.662740968168
strong_n_hours48,2841.7889854609966
temp_d24,2647.416955407709
month,2627.672987654805
precip_int_s48,2537.05320648849
e_precipitation_s48,2397.40820530802
dust,2395.685105651617
v_north_m24,2366.651384457946
pres_d24,2358.3863413482904
e_relative_humidity_2m,2255.582450889051
rain_s24,2215.419391348958
wspd_m6,2183.0779598020017
e_boundary_layer_height,2087.805662892759
s_ws_low_m24,2069.2733960077167
temp,1850.053785726428
e_pressure_msl,1838.1685480326414
s_ws700,1802.7212046980858
e_surface_pressure,1748.911960594356
s_ws_low,1663.1145874336362
precip_int_s12,1649.3756031394005
s_inv_strength,1551.870945688337
s_ws925,1533.8714505061507
hour,1440.0294417738914
wspd_m3,1423.9876856058836
e_precipitation_s24,1357.1416065841913
s_ws850,1258.527766995132
e_wind_speed_10m_m24,1154.06407109648
e_v_north_m12,1136.5694388747215
e_u_east100,1112.7079765945673
e_temperature_2m,1098.8128504268825
precip_int_s24,1076.28714954108
cny_night,1056.9391597434878
hour_sin,1022.7672243416309
v_north_m3,998.9214385263622
e_v_north100,985.5415586009622
e_wind_speed_10m_m12,920.5318130627275
e_wind_speed_100m,875.3197668492794
dow,862.1792137622833
dow_sin,759.4291084110737
s_age,740.6032295003533
e_vapour_pressure_deficit,649.5377512350678
hour_cos,602.3055757805705
e_u_east,601.6519138589501
e_wind_gusts_10m,599.798410050571
pres,595.7620244696736
e_et0_fao_evapotranspiration,501.82795752584934
u_east,500.29782535880804
dow_cos,492.49533070623875
strong_n_hours24,459.16870579123497
e_shortwave_radiation,455.8911472298205
e_cloud_cover_low,427.03524158895016
e_v_north,417.6202322356403
e_precipitation_s12,416.60089487582445
e_cloud_cover,364.764928586781
precip_int_s6,250.23336246609688
cny_window,242.3567876815796
pres_d3,229.392778493464
v_north,225.12053086608648
e_wind_speed_10m,203.10448460280895
rain_s6,137.62378553301096
wspd,108.15352155268192
e_precipitation_s6,94.32126557081938
e_precipitation_s3,73.2492850869894
snow_s24,70.44740894436836
e_rain,59.5152298361063
precip_int,29.40468278899789
e_precipitation,18.980389922857285
gust,17.230741508305073
rain,16.800665117800236
weekend,8.246298253536224
e_snowfall,6.366963326931
precip_int_s3,3.216170310974121
snow_s6,1.2055040299892426
snow,0.7408180236816406
e_blh_missing,0.0
