num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l2,learning_rate,objective,min_gain_to_split,iters,val,test,secs
255,400,0.5,0.7,5,0.03,huber,0.0,1850,0.7329536854770573,0.7093842460744444,31
255,50,0.65,1.0,1,0.02,huber,0.01,1039,0.7249630066180572,0.7060437566613418,35
255,200,0.65,1.0,5,0.05,regression,0.01,498,0.7244761110646296,0.7047190264066443,22
127,100,0.65,0.7,5,0.03,huber,0.01,985,0.7243558306375288,0.7087707541757553,20
63,400,0.8,0.7,20,0.05,huber,0.0,888,0.7233815330756772,0.7111286369104869,10
255,200,0.8,0.7,1,0.02,regression,0.0,1471,0.7215984500411412,0.710395065450691,43
127,100,0.95,0.7,20,0.02,huber,0.01,1936,0.7189001286844902,0.7090721218105835,48
31,400,0.5,0.85,0,0.02,regression,0.01,1940,0.7186130550513733,0.711891435180862,12
127,100,0.8,1.0,1,0.05,huber,0.0,660,0.7178268702480339,0.7018307178288177,14
63,20,0.5,0.7,0,0.05,huber,0.01,1023,0.717739345114895,0.7107031468068894,11
63,100,0.65,1.0,0,0.03,regression,0.01,779,0.7150737720265972,0.7093780976535888,12
31,50,0.8,0.7,5,0.03,huber,0.1,2103,0.7148691376554642,0.7079688982385342,16
255,20,0.8,1.0,20,0.03,regression,0.0,692,0.7148420112966218,0.7025552575044108,29
63,100,0.8,1.0,0,0.05,huber,0.01,1026,0.7116564999494471,0.7093703681416206,12
255,50,0.95,1.0,20,0.02,huber,0.1,564,0.7112295725608047,0.7034078701490687,24
255,100,0.95,1.0,5,0.02,huber,0.0,1012,0.7092071466325282,0.7035249598454799,39
63,200,0.95,0.85,1,0.05,huber,0.1,577,0.7089795128138809,0.7108511389111342,7
31,400,0.8,1.0,5,0.03,huber,0.1,1615,0.7083381933147186,0.711118451145113,9
63,200,0.95,0.85,20,0.05,huber,0.01,447,0.7082616920565128,0.7071521259220312,6
31,20,0.65,1.0,1,0.05,regression,0.0,810,0.7082282549101248,0.69498655171341,6
